name,brand,model,url,score,price_min,price_max,sentiment_score,sentiment_label,sentiment_confidence,keywords_performance_count,keywords_performance,keywords_playstyle_count,keywords_playstyle,keywords_comfort_count,keywords_comfort,keywords_durability_count,keywords_durability,keywords_technologies_count,keywords_technologies,keywords_features_count,keywords_features,keywords_court_type_count,keywords_court_type,keywords_materials_count,keywords_materials
Adidas D.O.N. Issue #6,Adidas,D.O.N. Issue #6,https://runrepeat.com/adidas-don-issue-6,92,120,140,5.0,neutral,0.39,2.0,"grip, support",1.0,quick,1.0,break-in,2.0,"wear, outsole",,,,,,,,
Nike G.T. Cut 3,Nike,G.T. Cut 3,https://runrepeat.com/nike-g-t-cut-3,88,135,200,0.0,negative,0.1,1.0,cushioning,1.0,cutting,,,,,1.0,foam,,,,,,
Nike LeBron 22,Nike,LeBron 22,https://runrepeat.com/nike-le-bron-22,91,135,190,6.61,neutral,0.32,3.0,"traction, cushioning, support",2.0,"forward, center",,,,,,,,,,,,
Adidas Dame 9,Adidas,Dame 9,https://runrepeat.com/adidas-dame-9,92,95,140,7.0,positive,0.4,4.0,"support, responsiveness, lockdown, impact protection",,,,,1.0,wear,1.0,air,,,,,,
Adidas Harden Vol. 9,Adidas,Harden Vol. 9,https://runrepeat.com/adidas-harden-vol-9,90,135,200,10.0,positive,0.18,3.0,"traction, support, bounce",2.0,"guard, quick",1.0,breathable,2.0,"durable, wear",,,,,,,,
New Balance Fresh Foam BB v2,New Balance,Fresh Foam BB v2,https://runrepeat.com/new-balance-fresh-foam-bb-v2,87,120,160,10.0,positive,0.29,4.0,"traction, cushioning, support, impact protection",1.0,jumping,1.0,comfortable,1.0,durable,1.0,foam,1.0,fresh foam,,,,
New Balance TWO WXY V5,New Balance,TWO WXY V5,https://runrepeat.com/new-balance-two-wxy-v5,88,85,135,0.0,negative,0.1,2.0,"support, stability",1.0,quick,1.0,break-in,,,,,,,2.0,"indoor, outdoor",,
Air Jordan XXXIX,Jordan,Air Jordan XXXIX,https://runrepeat.com/air-jordan-xxxix,87,135,200,7.14,positive,0.69,2.0,"energy return, bounce",1.0,quick,1.0,comfortable,,,1.0,air,,,,,,
Nike Ja 2,Nike,Ja 2,https://runrepeat.com/nike-ja-2,92,120,150,6.67,neutral,0.35,2.0,"traction, court feel",2.0,"guard, explosive",,,1.0,wear,2.0,"air, zoom",,,,,,
Adidas Anthony Edwards 1 Low,Adidas,Anthony Edwards 1 Low,https://runrepeat.com/adidas-anthony-edwards-1-low,89,100,135,10.0,positive,0.62,2.0,"traction, cushioning",2.0,"guard, quick",,,1.0,wear,,,,,,,,
Nike G.T. Cut Academy,Nike,G.T. Cut Academy,https://runrepeat.com/nike-gt-cut-academy,87,85,135,10.0,positive,0.08,1.0,lockdown,,,,,1.0,durable,2.0,"air, zoom",1.0,zoom air,,,,
Nike KD 17,Nike,KD 17,https://runrepeat.com/nike-kd-17,89,120,160,6.58,neutral,0.32,2.0,"traction, support",1.0,guard,1.0,wide,1.0,outsole,2.0,"air, zoom",2.0,"zoom air, mesh",,,1.0,mesh
Nike Sabrina 2,Nike,Sabrina 2,https://runrepeat.com/nike-sabrina-2,90,80,160,6.52,neutral,0.3,2.0,"cushioning, court feel",,,,,3.0,"durable, wear, outsole",3.0,"air, foam, zoom",,,1.0,outdoor,,
Puma All Pro Nitro,PUMA,All Pro Nitro,https://runrepeat.com/puma-all-pro-nitro,90,120,135,10.0,positive,0.16,2.0,"grip, stability",1.0,speed,,,1.0,wear,,,,,1.0,outdoor,,
Nike Book 1,Nike,Book 1,https://runrepeat.com/nike-book-1,87,130,140,7.38,positive,0.48,1.0,traction,1.0,quick,4.0,"break-in, snug, padding, breathable",1.0,wear,,,,,,,,
Under Armour Curry 11,Under Armour,Curry 11,https://runrepeat.com/under-armour-curry-11,89,80,160,10.0,positive,0.23,3.0,"traction, grip, support",3.0,"guard, quick, explosive",,,1.0,outsole,,,,,1.0,outdoor,,
